safe_151_SAFE,fixed,0.4.24
safe_155_SAFE,fixed,0.4.24
safe_162_SAFE,fixed,0.4.24
safe_166_SAFE,fixed,0.4.24
safe_172_SAFE,fixed,0.4.24
safe_178_SAFE,fixed,0.4.24
safe_179_SAFE,fixed,0.4.24
safe_181_SAFE,fixed,0.4.24
safe_184_SAFE,fixed,0.4.24
safe_189_SAFE,fixed,0.4.24
safe_193_SAFE,fixed,0.4.24
safe_194_SAFE,fixed,0.4.24
safe_197_SAFE,fixed,0.4.24
safe_200_SAFE,fixed,0.4.24
safe_202_SAFE,fixed,0.4.24
safe_205_SAFE,fixed,0.4.24
safe_209_SAFE,fixed,0.4.24
safe_213_SAFE,fixed,0.4.24
safe_217_SAFE,fixed,0.4.24
safe_220_SAFE,fixed,0.4.24
safe_222_SAFE,fixed,0.4.24
safe_226_SAFE,fixed,0.4.24
safe_227_SAFE,fixed,0.4.24
safe_228_SAFE,fixed,0.4.24
safe_231_SAFE,fixed,0.4.24
safe_235_SAFE,fixed,0.4.24
safe_236_SAFE,fixed,0.4.24
safe_238_SAFE,fixed,0.4.24
safe_241_SAFE,fixed,0.4.24
safe_242_SAFE,fixed,0.4.24
safe_249_SAFE,fixed,0.4.24
safe_256_SAFE,fixed,0.4.24
safe_258_SAFE,fixed,0.4.24
safe_261_SAFE,fixed,0.4.24
safe_264_SAFE,fixed,0.4.24
safe_266_SAFE,fixed,0.4.24
safe_270_SAFE,fixed,0.4.24
safe_278_SAFE,fixed,0.4.24
safe_277_SAFE,fixed,0.4.24
safe_287_SAFE,fixed,0.4.24
safe_289_SAFE,fixed,0.4.24
safe_294_SAFE,fixed,0.4.24
safe_292_SAFE,fixed,0.4.24
safe_295_SAFE,fixed,0.4.24
safe_296_SAFE,fixed,0.4.24
safe_300_SAFE,fixed,0.4.24
vuln_057_SC08,failed,
vuln_059_SC08,failed,
vuln_087_SC01,failed,
vuln_088_SC01,failed,
vuln_089_SC01,failed,
vuln_090_SC01,failed,
vuln_091_SC01,failed,
vuln_092_SC01,failed,
vuln_093_SC01,failed,
vuln_095_SC01,failed,
vuln_094_SC01,failed,
vuln_096_SC01,failed,
vuln_098_SC01,failed,
vuln_097_SC01,failed,
vuln_112_SC06,failed,
vuln_115_SC06,failed,
vuln_116_SC06,failed,
vuln_118_SC06,failed,
vuln_119_SC06,failed,
vuln_121_SC06,fixed,0.4.24
vuln_122_SC06,fixed,0.4.24
vuln_131_SC06,fixed,0.4.24
vuln_135_SC06,fixed,0.4.24
