safe_151_SAFE,1,0.4.11
safe_155_SAFE,1,0.4.18
safe_156_SAFE,255,0.4.15
safe_154_SAFE,255,0.4.18
safe_152_SAFE,255,0.4.18
safe_158_SAFE,255,0.4.0
safe_153_SAFE,255,0.4.23
safe_157_SAFE,255,0.4.21
safe_160_SAFE,255,0.4.21
safe_161_SAFE,255,0.4.18
safe_162_SAFE,1,0.4.18
safe_164_SAFE,255,0.4.11
safe_163_SAFE,255,0.4.16
safe_165_SAFE,255,0.4.24
safe_166_SAFE,1,0.8.20
safe_167_SAFE,255,0.4.18
safe_168_SAFE,255,0.4.18
safe_169_SAFE,255,0.4.15
safe_171_SAFE,255,0.4.11
safe_170_SAFE,255,0.4.24
safe_172_SAFE,1,0.4.15
safe_173_SAFE,255,0.4.4
safe_174_SAFE,255,0.4.19
safe_178_SAFE,1,0.4.12
safe_179_SAFE,1,0.4.18
safe_176_SAFE,255,0.4.21
safe_177_SAFE,255,0.4.23
safe_181_SAFE,1,0.4.18
safe_180_SAFE,255,0.4.24
safe_183_SAFE,255,0.4.19
safe_182_SAFE,255,0.4.19
safe_175_SAFE,255,0.4.18
safe_184_SAFE,1,0.8.20
safe_187_SAFE,255,0.4.4
safe_189_SAFE,1,0.4.18
safe_186_SAFE,255,0.4.18
safe_188_SAFE,255,0.4.9
safe_185_SAFE,255,0.4.8
safe_191_SAFE,255,0.4.18
safe_193_SAFE,1,0.8.20
safe_194_SAFE,1,0.4.18
safe_195_SAFE,255,0.4.23
safe_196_SAFE,255,0.4.23
safe_197_SAFE,1,0.4.18
safe_190_SAFE,255,0.4.6
safe_200_SAFE,1,0.8.20
safe_199_SAFE,255,0.4.16
safe_201_SAFE,255,0.4.16
safe_202_SAFE,1,0.4.18
safe_203_SAFE,255,0.4.18
safe_204_SAFE,255,0.4.13
safe_205_SAFE,1,0.4.18
safe_208_SAFE,255,0.4.19
safe_207_SAFE,255,0.4.17
safe_206_SAFE,255,0.4.24
safe_209_SAFE,1,0.4.18
safe_192_SAFE,255,0.4.24
safe_210_SAFE,255,0.4.4
safe_211_SAFE,255,0.4.16
safe_159_SAFE,255,0.4.18
safe_212_SAFE,255,0.4.18
safe_213_SAFE,1,0.8.20
safe_214_SAFE,255,0.4.18
safe_215_SAFE,255,0.4.11
safe_198_SAFE,255,0.4.24
safe_217_SAFE,1,0.4.4
safe_216_SAFE,255,0.4.21
safe_218_SAFE,255,0.4.15
safe_219_SAFE,255,0.4.16
safe_220_SAFE,1,0.8.20
safe_221_SAFE,255,0.4.13
safe_222_SAFE,1,0.4.16
safe_223_SAFE,255,0.4.18
safe_225_SAFE,255,0.4.10
safe_226_SAFE,1,0.4.0
safe_224_SAFE,255,0.4.13
safe_227_SAFE,1,0.4.0
safe_228_SAFE,1,0.4.0
safe_231_SAFE,1,0.4.21
safe_229_SAFE,255,0.4.21
safe_230_SAFE,255,0.4.17
safe_232_SAFE,255,0.4.24
safe_234_SAFE,255,0.4.6
safe_235_SAFE,1,0.4.0
safe_236_SAFE,1,0.4.18
safe_233_SAFE,255,0.4.19
safe_237_SAFE,255,0.4.11
safe_238_SAFE,1,0.4.16
safe_239_SAFE,255,0.4.18
safe_241_SAFE,1,0.8.20
safe_240_SAFE,255,0.4.24
safe_242_SAFE,1,0.4.4
safe_243_SAFE,255,0.4.19
safe_244_SAFE,255,0.4.8
safe_246_SAFE,255,0.4.13
safe_245_SAFE,255,0.4.16
safe_247_SAFE,255,0.4.11
safe_249_SAFE,1,0.4.18
safe_248_SAFE,255,0.4.24
safe_250_SAFE,255,0.4.24
safe_252_SAFE,255,0.4.21
safe_253_SAFE,255,0.4.16
safe_255_SAFE,255,0.4.24
safe_254_SAFE,255,0.4.11
safe_256_SAFE,1,0.4.18
safe_258_SAFE,1,0.4.13
safe_257_SAFE,255,0.4.22
safe_261_SAFE,1,0.4.18
safe_260_SAFE,255,0.4.19
safe_259_SAFE,255,0.4.24
safe_251_SAFE,255,0.4.18
safe_262_SAFE,255,0.4.11
safe_264_SAFE,1,0.8.20
safe_266_SAFE,1,0.4.16
safe_265_SAFE,255,0.4.19
safe_263_SAFE,255,0.4.18
safe_268_SAFE,255,0.4.11
safe_267_SAFE,255,0.4.11
safe_270_SAFE,1,0.8.20
safe_271_SAFE,255,0.4.16
safe_272_SAFE,255,0.4.24
safe_274_SAFE,255,0.4.7
safe_269_SAFE,255,0.4.24
safe_273_SAFE,255,0.4.10
safe_275_SAFE,255,0.4.16
safe_278_SAFE,1,0.4.21
safe_277_SAFE,1,0.4.18
safe_276_SAFE,255,0.4.19
safe_279_SAFE,255,0.4.18
safe_280_SAFE,255,0.4.24
safe_281_SAFE,255,0.4.18
safe_283_SAFE,255,0.4.4
safe_284_SAFE,255,0.4.16
safe_282_SAFE,255,0.4.15
safe_286_SAFE,255,0.4.19
safe_287_SAFE,1,0.4.16
safe_289_SAFE,1,0.4.18
safe_285_SAFE,255,0.4.24
safe_288_SAFE,255,0.4.23
safe_290_SAFE,255,0.4.23
safe_291_SAFE,255,0.4.18
safe_294_SAFE,1,0.4.2
safe_292_SAFE,1,0.4.2
safe_293_SAFE,255,0.4.11
safe_295_SAFE,1,0.4.18
safe_296_SAFE,1,0.4.21
safe_300_SAFE,1,0.8.20
safe_298_SAFE,255,0.4.18
safe_297_SAFE,255,0.4.11
vuln_001_SC01,255,0.4.24
safe_299_SAFE,255,0.4.18
vuln_002_SC01,255,0.4.25
vuln_003_SC01,255,0.4.22
vuln_006_SC01,255,0.4.15
vuln_007_SC01,255,0.4.24
vuln_004_SC01,255,0.4.9
vuln_005_SC01,255,0.4.9
vuln_008_SC01,255,0.4.0
vuln_009_SC01,255,0.4.24
vuln_010_SC01,255,0.4.23
vuln_011_SC01,255,0.4.22
vuln_012_SC01,255,0.4.24
vuln_014_SC01,255,0.4.24
vuln_013_SC01,255,0.4.24
vuln_015_SC01,255,0.4.15
vuln_016_SC01,255,0.4.24
vuln_017_SC01,255,0.4.24
vuln_018_SC01,255,0.4.24
vuln_020_SC05,255,0.4.0
vuln_021_SC05,255,0.4.25
vuln_019_SC05,255,0.4.9
vuln_022_SC05,255,0.4.0
vuln_024_SC05,255,0.4.21
vuln_023_SC05,255,0.4.16
vuln_027_SC05,255,0.4.25
vuln_026_SC05,255,0.4.24
vuln_028_SC05,255,0.4.25
vuln_029_SC05,255,0.4.0
vuln_030_SC05,255,0.4.15
vuln_031_SC05,255,0.4.0
vuln_033_SC05,255,0.4.22
vuln_032_SC05,255,0.4.16
vuln_034_SC05,255,0.4.24
vuln_025_SC05,255,0.4.13
vuln_035_SC05,255,0.4.2
vuln_038_SC06,255,0.4.24
vuln_037_SC06,255,0.4.25
vuln_036_SC06,255,0.4.25
vuln_040_SC06,255,0.4.25
vuln_041_SC06,255,0.4.15
vuln_039_SC06,255,0.4.0
vuln_042_SC08,255,0.4.19
vuln_044_SC08,255,0.4.19
vuln_043_SC08,255,0.4.19
vuln_045_SC08,255,0.4.19
vuln_047_SC08,255,0.4.19
vuln_048_SC08,255,0.4.19
vuln_049_SC08,255,0.4.24
vuln_050_SC08,255,0.4.19
vuln_051_SC08,255,0.4.25
vuln_052_SC08,255,0.4.19
vuln_053_SC08,255,0.4.19
vuln_054_SC08,255,0.4.10
vuln_055_SC08,255,0.4.0
vuln_056_SC08,255,0.4.25
