vuln_001_SC01,SC01,0.4.24
vuln_002_SC01,SC01,0.4.25
vuln_003_SC01,SC01,0.4.22
vuln_004_SC01,SC01,0.4.9
vuln_005_SC01,SC01,0.4.9
vuln_006_SC01,SC01,0.4.15
vuln_007_SC01,SC01,0.4.24
vuln_008_SC01,SC01,0.4.0
vuln_009_SC01,SC01,0.4.24
vuln_010_SC01,SC01,0.4.23
vuln_011_SC01,SC01,0.4.22
vuln_012_SC01,SC01,0.4.24
vuln_013_SC01,SC01,0.4.24
vuln_014_SC01,SC01,0.4.24
vuln_015_SC01,SC01,0.4.15
vuln_016_SC01,SC01,0.4.24
vuln_017_SC01,SC01,0.4.24
vuln_018_SC01,SC01,0.4.24
vuln_019_SC05,SC05,0.4.9
vuln_020_SC05,SC05,0.4.0
vuln_021_SC05,SC05,0.4.25
vuln_022_SC05,SC05,0.4.0
vuln_023_SC05,SC05,0.4.16
vuln_024_SC05,SC05,0.4.21
vuln_025_SC05,SC05,0.4.13
vuln_026_SC05,SC05,0.4.24
vuln_027_SC05,SC05,0.4.25
vuln_028_SC05,SC05,0.4.25
vuln_029_SC05,SC05,0.4.0
vuln_030_SC05,SC05,0.4.15
vuln_031_SC05,SC05,0.4.0
vuln_032_SC05,SC05,0.4.16
vuln_033_SC05,SC05,0.4.22
vuln_034_SC05,SC05,0.4.24
vuln_035_SC05,SC05,0.4.2
vuln_036_SC06,SC06,0.4.25
vuln_037_SC06,SC06,0.4.25
vuln_038_SC06,SC06,0.4.24
vuln_039_SC06,SC06,0.4.0
vuln_040_SC06,SC06,0.4.25
vuln_041_SC06,SC06,0.4.15
vuln_042_SC08,SC08,0.4.19
vuln_043_SC08,SC08,0.4.19
vuln_044_SC08,SC08,0.4.19
vuln_045_SC08,SC08,0.4.19
vuln_046_SC08,SC08,0.4.23
vuln_047_SC08,SC08,0.4.19
vuln_048_SC08,SC08,0.4.19
vuln_049_SC08,SC08,0.4.24
vuln_050_SC08,SC08,0.4.19
vuln_051_SC08,SC08,0.4.25
vuln_052_SC08,SC08,0.4.19
vuln_053_SC08,SC08,0.4.19
vuln_054_SC08,SC08,0.4.10
vuln_055_SC08,SC08,0.4.0
vuln_056_SC08,SC08,0.4.25
vuln_057_SC08,SC08,0.4.24
vuln_058_SC08,SC08,0.4.25
vuln_059_SC08,SC08,0.4.24
vuln_060_SC08,SC08,0.4.19
vuln_061_SC08,SC08,0.4.19
vuln_062_SC08,SC08,0.4.19
vuln_063_SC08,SC08,0.4.19
vuln_064_SC08,SC08,0.4.19
vuln_065_SC08,SC08,0.4.25
vuln_066_SC08,SC08,0.4.15
vuln_067_SC08,SC08,0.4.18
vuln_068_SC08,SC08,0.4.19
vuln_069_SC08,SC08,0.4.19
vuln_070_SC08,SC08,0.4.2
vuln_071_SC08,SC08,0.4.25
vuln_072_SC09,SC09,0.4.11
vuln_073_SC09,SC09,0.4.19
vuln_074_SC09,SC09,0.4.10
vuln_075_SC09,SC09,0.4.25
vuln_076_SC09,SC09,0.4.18
vuln_077_SC09,SC09,0.4.10
vuln_078_SC09,SC09,0.4.19
vuln_079_SC09,SC09,0.4.19
vuln_080_SC09,SC09,0.4.21
vuln_081_SC09,SC09,0.4.23
vuln_082_SC09,SC09,0.4.16
vuln_083_SC09,SC09,0.4.23
vuln_084_SC09,SC09,0.4.19
vuln_085_SC09,SC09,0.4.15
vuln_086_SC09,SC09,0.4.23
vuln_087_SC01,SC01,0.4.24
vuln_088_SC01,SC01,0.4.24
vuln_089_SC01,SC01,0.4.24
vuln_090_SC01,SC01,0.4.24
vuln_091_SC01,SC01,0.4.24
vuln_092_SC01,SC01,0.4.24
vuln_093_SC01,SC01,0.4.24
vuln_094_SC01,SC01,0.4.24
vuln_095_SC01,SC01,0.4.24
vuln_096_SC01,SC01,0.4.24
vuln_097_SC01,SC01,0.4.24
vuln_098_SC01,SC01,0.4.24
vuln_099_SC05,SC05,0.8.20
vuln_100_SC05,SC05,0.4.20
vuln_101_SC05,SC05,0.4.22
vuln_102_SC05,SC05,0.4.25
vuln_103_SC05,SC05,0.4.24
vuln_104_SC05,SC05,0.4.16
vuln_105_SC05,SC05,0.4.25
vuln_106_SC05,SC05,0.8.20
vuln_107_SC05,SC05,0.4.21
vuln_108_SC05,SC05,0.4.23
vuln_109_SC05,SC05,0.4.24
vuln_110_SC05,SC05,0.4.22
vuln_111_SC05,SC05,0.4.25
vuln_112_SC06,SC06,0.4.24
vuln_113_SC06,SC06,0.4.24
vuln_114_SC06,SC06,0.4.21
vuln_115_SC06,SC06,0.4.24
vuln_116_SC06,SC06,0.4.24
vuln_117_SC06,SC06,0.4.21
vuln_118_SC06,SC06,0.4.24
vuln_119_SC06,SC06,0.4.24
vuln_120_SC06,SC06,0.5.1
vuln_121_SC06,SC06,0.4.24
vuln_122_SC06,SC06,0.4.24
vuln_123_SC06,SC06,0.4.24
vuln_124_SC06,SC06,0.4.25
vuln_125_SC06,SC06,0.4.24
vuln_126_SC06,SC06,0.4.18
vuln_127_SC06,SC06,0.4.24
vuln_128_SC06,SC06,0.4.11
vuln_129_SC06,SC06,0.4.24
vuln_130_SC06,SC06,0.4.24
vuln_131_SC06,SC06,0.4.24
vuln_132_SC06,SC06,0.4.23
vuln_133_SC06,SC06,0.4.16
vuln_134_SC06,SC06,0.4.19
vuln_135_SC06,SC06,0.4.24
vuln_136_SC09,SC09,0.4.25
vuln_137_SC09,SC09,0.4.13
vuln_138_SC09,SC09,0.4.24
vuln_139_SC09,SC09,0.4.25
vuln_140_SC09,SC09,0.4.25
vuln_141_SC09,SC09,0.4.25
vuln_142_SC09,SC09,0.4.24
vuln_143_SC09,SC09,0.4.24
vuln_144_SC09,SC09,0.4.24
vuln_145_SC09,SC09,0.5.0
vuln_146_SC09,SC09,0.4.24
vuln_147_SC09,SC09,0.4.21
vuln_148_SC09,SC09,0.4.16
vuln_149_SC09,SC09,0.8.20
vuln_150_SC09,SC09,0.4.18
vuln_301_SC01,SC01,0.4.24
vuln_302_SC06,SC06,0.4.21
vuln_303_SC06,SC06,0.4.24
vuln_304_SC06,SC06,0.4.21
vuln_305_SC06,SC06,0.4.24
vuln_306_SC06,SC06,0.4.11
vuln_307_SC08,SC08,0.4.15
vuln_308_SC08,SC08,0.4.24
safe_151_SAFE,SC01,0.4.24
safe_151_SAFE,SC05,0.4.24
safe_151_SAFE,SC06,0.4.24
safe_151_SAFE,SC08,0.4.24
safe_151_SAFE,SC09,0.4.24
safe_152_SAFE,SC01,0.4.18
safe_152_SAFE,SC05,0.4.18
safe_152_SAFE,SC06,0.4.18
safe_152_SAFE,SC08,0.4.18
safe_152_SAFE,SC09,0.4.18
safe_153_SAFE,SC01,0.4.23
safe_153_SAFE,SC05,0.4.23
safe_153_SAFE,SC06,0.4.23
safe_153_SAFE,SC08,0.4.23
safe_153_SAFE,SC09,0.4.23
safe_154_SAFE,SC01,0.4.18
safe_154_SAFE,SC05,0.4.18
safe_154_SAFE,SC06,0.4.18
safe_154_SAFE,SC08,0.4.18
safe_154_SAFE,SC09,0.4.18
safe_155_SAFE,SC01,0.4.24
safe_155_SAFE,SC05,0.4.24
safe_155_SAFE,SC06,0.4.24
safe_155_SAFE,SC08,0.4.24
safe_155_SAFE,SC09,0.4.24
safe_156_SAFE,SC01,0.4.15
safe_156_SAFE,SC05,0.4.15
safe_156_SAFE,SC06,0.4.15
safe_156_SAFE,SC08,0.4.15
safe_156_SAFE,SC09,0.4.15
safe_157_SAFE,SC01,0.4.21
safe_157_SAFE,SC05,0.4.21
safe_157_SAFE,SC06,0.4.21
safe_157_SAFE,SC08,0.4.21
safe_157_SAFE,SC09,0.4.21
safe_158_SAFE,SC01,0.4.0
safe_158_SAFE,SC05,0.4.0
safe_158_SAFE,SC06,0.4.0
safe_158_SAFE,SC08,0.4.0
safe_158_SAFE,SC09,0.4.0
safe_159_SAFE,SC01,0.4.18
safe_159_SAFE,SC05,0.4.18
safe_159_SAFE,SC06,0.4.18
safe_159_SAFE,SC08,0.4.18
safe_159_SAFE,SC09,0.4.18
safe_160_SAFE,SC01,0.4.21
safe_160_SAFE,SC05,0.4.21
safe_160_SAFE,SC06,0.4.21
safe_160_SAFE,SC08,0.4.21
safe_160_SAFE,SC09,0.4.21
safe_161_SAFE,SC01,0.4.18
safe_161_SAFE,SC05,0.4.18
safe_161_SAFE,SC06,0.4.18
safe_161_SAFE,SC08,0.4.18
safe_161_SAFE,SC09,0.4.18
safe_162_SAFE,SC01,0.4.24
safe_162_SAFE,SC05,0.4.24
